allotrope,r,elements,G(r),type
beta13,2.675,AgAg,0.10395467816166346,NNP
beta13,2.685,BB,0.002628558515071299,NNP
beta13,2.685,BAg,0.6165153069123509,NNP
beta13,2.685,AgAg,0.1369905293946065,NNP
beta13,2.695,BB,0.003893165531795316,NNP
beta13,2.695,BAg,0.6007241173234924,NNP
beta13,2.695,AgAg,0.18263342586427472,NNP
beta13,2.705,BB,0.005865995690984464,NNP
beta13,2.705,BAg,0.5813081139290605,NNP
beta13,2.705,AgAg,0.2253127684719805,NNP
beta13,2.715,BB,0.008434010218863395,NNP
beta13,2.715,BAg,0.5752135654693684,NNP
beta13,2.715,AgAg,0.27349476155476804,NNP
beta13,2.725,BB,0.012500591136944565,NNP
beta13,2.725,BAg,0.5682719941918435,NNP
beta13,2.725,AgAg,0.31560147476174977,NNP
beta13,2.735,BB,0.01780817924160767,NNP
beta13,2.735,BAg,0.5482499177019314,NNP
beta13,2.735,AgAg,0.37970792908305706,NNP
beta13,2.745,BB,0.024673036602164928,NNP
beta13,2.745,BAg,0.5347197453541881,NNP
beta13,2.745,AgAg,0.4308462724452549,NNP
beta13,2.755,BB,0.03375019164401073,NNP
beta13,2.755,BAg,0.5336470963709061,NNP
beta13,2.755,AgAg,0.4909115169547952,NNP
beta13,2.765,BB,0.04539857176445112,NNP
beta13,2.765,BAg,0.5319467099530729,NNP
beta13,2.765,AgAg,0.5630403241035861,NNP
beta13,2.775,BB,0.05978466912429506,NNP
beta13,2.775,BAg,0.5247663025472507,NNP
beta13,2.775,AgAg,0.6559204360982382,NNP
beta13,2.785,BB,0.07470554380855794,NNP
beta13,2.785,BAg,0.5216899663991384,NNP
beta13,2.785,AgAg,0.7123558507719137,NNP
beta13,2.795,BB,0.09228989745287992,NNP
beta13,2.795,BAg,0.5035088303317655,NNP
beta13,2.795,AgAg,0.775785168333317,NNP
beta13,2.805,BB,0.1137073443340901,NNP
beta13,2.805,BAg,0.5035088303317655,NNP
beta13,2.805,AgAg,0.8381023635730124,NNP
beta13,2.815,BB,0.13424675885014933,NNP
beta13,2.815,BAg,0.5035088303317655,NNP
beta13,2.815,AgAg,0.8870518152584732,NNP
beta13,2.825,BB,0.15557829687192545,NNP
beta13,2.825,BAg,0.5035088303317655,NNP
beta13,2.825,AgAg,0.9402899475224552,NNP
beta13,2.835,BB,0.1795821238483785,NNP
beta13,2.835,BAg,0.5043326036149856,NNP
beta13,2.835,AgAg,0.962441407167764,NNP
beta13,2.845,BB,0.2030246978689186,NNP
beta13,2.845,BAg,0.5104593843840273,NNP
beta13,2.845,AgAg,0.9784635046559523,NNP
beta13,2.855,BB,0.22532571569566123,NNP
beta13,2.855,BAg,0.5154934370262577,NNP
beta13,2.855,AgAg,0.9940424155806619,NNP
beta13,2.865,BB,0.2470530187606325,NNP
beta13,2.865,BAg,0.515941518966072,NNP
beta13,2.865,AgAg,1,NNP
beta13,2.875,BB,0.26758188867173466,NNP
beta13,2.875,BAg,0.515941518966072,NNP
beta13,2.875,AgAg,0.986213672887311,NNP
beta13,2.885,BB,0.28525802450523585,NNP
beta13,2.885,BAg,0.5151399384204371,NNP
beta13,2.885,AgAg,0.986213672887311,NNP
beta13,2.895,BB,0.29803870956433104,NNP
beta13,2.895,BAg,0.5192001526014908,NNP
beta13,2.895,AgAg,0.9627397463097708,NNP
beta13,2.905,BB,0.30156673961971137,NNP
beta13,2.905,BAg,0.5215721335305317,NNP
beta13,2.905,AgAg,0.9363125725345349,NNP
beta13,2.915,BB,0.30156673961971137,NNP
beta13,2.915,BAg,0.5236011838240306,NNP
beta13,2.915,AgAg,0.8944349332527122,NNP
beta13,2.925,BB,0.30156673961971137,NNP
beta13,2.925,BAg,0.526715036266632,NNP
beta13,2.925,AgAg,0.8545554569465142,NNP
beta13,2.935,BB,0.30156673961971137,NNP
beta13,2.935,BAg,0.5334478901311537,NNP
beta13,2.935,AgAg,0.8006394121521999,NNP
beta13,2.945,BB,0.2843044148632856,NNP
beta13,2.945,BAg,0.5415376713794531,NNP
beta13,2.945,AgAg,0.7532410580267415,NNP
beta13,2.955,BB,0.2587521438414364,NNP
beta13,2.955,BAg,0.5404586816140038,NNP
beta13,2.955,AgAg,0.7172286864832419,NNP
beta13,2.965,BB,0.23355543750737592,NNP
beta13,2.965,BAg,0.5532062957626137,NNP
beta13,2.965,AgAg,0.6662512600728249,NNP
beta13,2.975,BB,0.20229751573976293,NNP
beta13,2.975,BAg,0.5550144754772891,NNP
beta13,2.975,AgAg,0.6021124450422063,NNP
beta13,2.985,BB,0.1697970651975511,NNP
beta13,2.985,BAg,0.5635486398758052,NNP
beta13,2.985,AgAg,0.5366514955523973,NNP
beta13,2.995,BB,0.13789904178298953,NNP
beta13,2.995,BAg,0.566340169224908,NNP
beta13,2.995,AgAg,0.4872047750221426,NNP
beta13,3.005,BB,0.10794032794360484,NNP
beta13,3.005,BAg,0.5880911656524057,NNP
beta13,3.005,AgAg,0.4393637884549401,NNP
beta13,3.015,BB,0.08259856862389345,NNP
beta13,3.015,BAg,0.5896557536521585,NNP
beta13,3.015,AgAg,0.388192862734737,NNP
beta13,3.025,BB,0.06035400171257775,NNP
beta13,3.025,BAg,0.6000128929237399,NNP
beta13,3.025,AgAg,0.3521856999355445,NNP
beta13,3.035,BB,0.04327658033196547,NNP
beta13,3.035,BAg,0.6066749413873949,NNP
beta13,3.035,AgAg,0.3103507280273,NNP
beta13,3.045,BB,0.029892281306566938,NNP
beta13,3.045,BAg,0.6208936169987915,NNP
beta13,3.045,AgAg,0.26463734727296745,NNP
beta13,3.055,BB,0.01997604655280279,NNP
beta13,3.055,BAg,0.6241046947679564,NNP
beta13,3.055,AgAg,0.23610007793168078,NNP
beta13,3.065,BB,0.013501917779104738,NNP
beta13,3.065,BAg,0.6402150370592298,NNP
beta13,3.065,AgAg,0.21276202200350913,NNP
beta13,3.075,BB,0.008732500140138256,NNP
beta13,3.075,BAg,0.6571068807526085,NNP
beta13,3.075,AgAg,0.17549511885246263,NNP
beta13,3.085,BB,0.0055560025643018535,NNP
beta13,3.085,BAg,0.6623781843275943,NNP
beta13,3.085,AgAg,0.14859128956096712,NNP
beta13,3.095,BB,0.0034743027825036616,NNP
beta13,3.095,BAg,0.6667438128497007,NNP
beta13,3.095,AgAg,0.12635482764154263,NNP
beta13,3.105,BB,0.002638874881825867,NNP
beta13,3.105,BAg,0.6737482635503836,NNP
beta13,3.105,AgAg,0.11096487222839391,NNP
beta13,3.115,BB,0.002486716080136076,NNP
beta13,3.115,BAg,0.6859981262988696,NNP
beta13,3.115,AgAg,0.09646273065871332,NNP
beta13,3.125,BB,0.0027897555495814633,NNP
beta13,3.125,BAg,0.6839220485376306,NNP
beta13,3.125,AgAg,0.07767578736265539,NNP
beta13,3.135,BB,0.003443186307558099,NNP
beta13,3.135,BAg,0.7020804634689045,NNP
beta13,3.135,AgAg,0.06449312046783832,NNP
beta13,3.145,BB,0.004795862838700168,NNP
beta13,3.145,BAg,0.7206605404142962,NNP
beta13,3.145,AgAg,0.050098367690358546,NNP
beta13,3.155,BB,0.007163210338910603,NNP
beta13,3.155,BAg,0.7274684268677962,NNP
beta13,3.155,AgAg,0.04377085160087985,NNP
beta13,3.165,BB,0.010623742749861338,NNP
beta13,3.165,BAg,0.7385996699622881,NNP
beta13,3.165,AgAg,0.03655928969572953,NNP
beta13,3.175,BB,0.015522951846669212,NNP
beta13,3.175,BAg,0.7455079521334353,NNP
beta13,3.175,AgAg,0.02744454128029605,NNP
beta13,3.185,BB,0.021878411970929393,NNP
beta13,3.185,BAg,0.7589784154491044,NNP
beta13,3.185,AgAg,0.021191499151972094,NNP
beta13,3.195,BB,0.030432171166722657,NNP
beta13,3.195,BAg,0.7730100379865692,NNP
beta13,3.195,AgAg,0.01886562858239701,NNP
beta13,3.205,BB,0.04015989638107332,NNP
beta13,3.205,BAg,0.7737392279357953,NNP
beta13,3.205,AgAg,0.016283975420046438,NNP
beta13,3.215,BB,0.05178575699886362,NNP
beta13,3.215,BAg,0.7752726404232261,NNP
beta13,3.215,AgAg,0.011764669375509237,NNP
beta13,3.225,BB,0.06454713310602432,NNP
beta13,3.225,BAg,0.778094816886137,NNP
beta13,3.225,AgAg,0.00877307695376674,NNP
beta13,3.235,BB,0.07894067103127089,NNP
beta13,3.235,BAg,0.7826242489475622,NNP
beta13,3.235,AgAg,0.0059282159673945895,NNP
beta13,3.245,BB,0.09396174228644649,NNP
beta13,3.245,BAg,0.7928297378456453,NNP
beta13,3.245,AgAg,0.0042780414412130026,NNP
beta13,3.255,BB,0.1093965028916563,NNP
beta13,3.255,BAg,0.798381092633015,NNP
beta13,3.255,AgAg,0.0035334126540125946,NNP
beta13,3.265,BB,0.12469979829220615,NNP
beta13,3.265,BAg,0.80187169321605,NNP
beta13,3.265,AgAg,0.002623433941153158,NNP
beta13,3.275,BB,0.13836085896199823,NNP
beta13,3.275,BAg,0.8115091537116561,NNP
beta13,3.275,AgAg,0.0014605540685390956,NNP
beta13,3.285,BB,0.150412049078152,NNP
beta13,3.285,BAg,0.8140586765413781,NNP
beta13,3.285,AgAg,9.923212026480813e-4,NNP
beta13,3.295,BB,0.16357812195016702,NNP
beta13,3.295,BAg,0.8140586765413781,NNP
beta13,3.295,AgAg,9.455533282324579e-4,NNP
beta13,3.305,BB,0.17322314885579929,NNP
beta13,3.305,BAg,0.8171952501200785,NNP
beta13,3.305,AgAg,7.534947349569248e-4,NNP
beta13,3.315,BB,0.18024757515168865,NNP
beta13,3.315,BAg,0.8171952501200785,NNP
beta13,3.315,AgAg,5.960133379318049e-4,NNP
beta13,3.325,BB,0.18573000893537348,NNP
beta13,3.325,BAg,0.8194272054429274,NNP
beta13,3.325,AgAg,5.443691922500976e-4,NNP
beta13,3.335,BB,0.19013982967830648,NNP
beta13,3.335,BAg,0.8253838418904831,NNP
beta13,3.335,AgAg,3.819006996119374e-4,NNP
beta13,3.345,BB,0.1894827927567298,NNP
beta13,3.345,BAg,0.8238049871308541,NNP
beta13,3.345,AgAg,2.3727492683376614e-4,NNP
beta13,3.355,BB,0.1894827927567298,NNP
beta13,3.355,BAg,0.8253394564153127,NNP
beta13,3.355,AgAg,3.145194966624139e-4,NNP
beta13,3.365,BB,0.1894827927567298,NNP
beta13,3.365,BAg,0.8253394564153127,NNP
beta13,3.365,AgAg,0,NNP
beta13,3.375,BB,0.18339677543850189,NNP
beta13,3.375,BAg,0.8253394564153127,NNP
beta13,3.375,AgAg,0,NNP
beta13,3.385,BB,0.17446867515879141,NNP
beta13,3.385,BAg,0.8253394564153127,NNP
beta13,3.385,AgAg,0,NNP
beta13,3.395,BB,0.1616179361873983,NNP
beta13,3.395,BAg,0.8253394564153127,NNP
beta13,3.395,AgAg,0,NNP
beta13,3.405,BB,0.14750084037306174,NNP
beta13,3.405,BAg,0.8236786998860244,NNP
beta13,3.405,AgAg,0,NNP
beta13,3.415,BB,0.1318761551515827,NNP
beta13,3.415,BAg,0.8244602012881299,NNP
beta13,3.415,AgAg,0,NNP
beta13,3.425,BB,0.1154869936786539,NNP
beta13,3.425,BAg,0.8301288605455927,NNP
beta13,3.425,AgAg,0,NNP
beta13,3.435,BB,0.09656345998889972,NNP
beta13,3.435,BAg,0.8301288605455927,NNP
beta13,3.435,AgAg,0,NNP
beta13,3.445,BB,0.08077660391657973,NNP
beta13,3.445,BAg,0.8301288605455927,NNP
beta13,3.445,AgAg,0,NNP
beta13,3.455,BB,0.06525418462571644,NNP
beta13,3.455,BAg,0.8244602012881299,NNP
beta13,3.455,AgAg,0,NNP
beta13,3.465,BB,0.050655536635792024,NNP
beta13,3.465,BAg,0.8235687929951265,NNP
beta13,3.465,AgAg,0,NNP
beta13,3.475,BB,0.03917956765354634,NNP
beta13,3.475,BAg,0.8183223241502955,NNP
beta13,3.475,AgAg,0,NNP
beta13,3.485,BB,0.02940033668482368,NNP
beta13,3.485,BAg,0.8125627803484365,NNP
beta13,3.485,AgAg,0,NNP
beta13,3.495,BB,0.02125921694333296,NNP
beta13,3.495,BAg,0.8122193213143807,NNP
beta13,3.495,AgAg,0,NNP
beta13,3.505,BB,0.014918151041712633,NNP
beta13,3.505,BAg,0.8097400754870118,NNP
beta13,3.505,AgAg,0,NNP
beta13,3.515,BB,0.01022504104179358,NNP
beta13,3.515,BAg,0.7972561321968538,NNP
beta13,3.515,AgAg,0,NNP
beta13,3.525,BB,0.007097264714258248,NNP
beta13,3.525,BAg,0.7913137625091743,NNP
beta13,3.525,AgAg,0,NNP
beta13,3.535,BB,0.004742576826348403,NNP
beta13,3.535,BAg,0.7910564324328894,NNP
beta13,3.535,AgAg,0,NNP
beta13,3.545,BB,0.002889115247084896,NNP
beta13,3.545,BAg,0.7854057387249004,NNP
beta13,3.545,AgAg,0,NNP
beta13,3.555,BB,0.0018206409257390188,NNP
beta13,3.555,BAg,0.7780277102748676,NNP
beta13,3.555,AgAg,0,NNP
beta13,3.565,BB,0.001005039316921404,NNP
beta13,3.565,BAg,0.7745513764517088,NNP
beta13,3.565,AgAg,0,NNP
beta13,3.575,BB,6.804237293964049e-4,NNP
beta13,3.575,BAg,0.7729582549322037,NNP
beta13,3.575,AgAg,0,NNP
beta13,3.585,BB,4.043467996104492e-4,NNP
beta13,3.585,BAg,0.7677852334808093,NNP
beta13,3.585,AgAg,0,NNP
beta13,3.595,BB,1.990237126102459e-4,NNP
beta13,3.595,BAg,0.7521789833718272,NNP
beta13,3.595,AgAg,0,NNP
beta13,3.605,BB,7.405568878242101e-5,NNP
beta13,3.605,BAg,0.7479650052232193,NNP
beta13,3.605,AgAg,0,NNP
beta13,3.615,BB,8.301784220194967e-5,NNP
beta13,3.615,BAg,0.7313035432819148,NNP
beta13,3.615,AgAg,0,NNP
beta13,3.625,BB,5.059280156185532e-5,NNP
beta13,3.625,BAg,0.7283149212871154,NNP
beta13,3.625,AgAg,0,NNP
beta13,3.635,BB,4.5023789420008996e-5,NNP
beta13,3.635,BAg,0.7091182032759651,NNP
beta13,3.635,AgAg,0,NNP
beta13,3.645,BB,3.029481741643728e-5,NNP
beta13,3.645,BAg,0.701268843351505,NNP
beta13,3.645,AgAg,0,NNP
beta13,3.655,BB,6.542828472660989e-6,NNP
beta13,3.655,BAg,0.6889085453136071,NNP
beta13,3.655,AgAg,0,NNP
beta13,3.665,BB,1.308565694532198e-6,NNP
beta13,3.665,BAg,0.6669652118270383,NNP
beta13,3.665,AgAg,0,NNP
beta13,3.675,BB,3.880049443089657e-6,NNP
beta13,3.675,BAg,0.6483994016415229,NNP
beta13,3.675,AgAg,0,NNP
beta13,3.685,BB,5.158183377283896e-6,NNP
beta13,3.685,BAg,0.6297828651986699,NNP
beta13,3.685,AgAg,0,NNP
beta13,3.695,BB,0,NNP
beta13,3.695,BAg,0.5968937564959993,NNP
beta13,3.695,AgAg,0,NNP
beta13,3.705,BB,0,NNP
beta13,3.705,BAg,0.5859294873319099,NNP
beta13,3.705,AgAg,0,NNP
beta13,3.715,BB,0,NNP
beta13,3.715,BAg,0.5841551251221261,NNP
beta13,3.715,AgAg,0,NNP
beta13,3.725,BB,0,NNP
beta13,3.725,BAg,0.5580326877888689,NNP
beta13,3.725,AgAg,0,NNP
beta13,3.735,BB,0,NNP
beta13,3.735,BAg,0.5310553016600696,NNP
beta13,3.735,AgAg,1.0783208958862888e-4,NNP
beta13,3.745,BB,0,NNP
beta13,3.745,BAg,0.5264001107523285,NNP
beta13,3.745,AgAg,9.464399230081096e-5,NNP
beta13,3.755,BB,0,NNP
beta13,3.755,BAg,0.5015320914911459,NNP
beta13,3.755,AgAg,5.963458109726743e-4,NNP
beta13,3.765,BB,0,NNP
beta13,3.765,BAg,0.4867792049821639,NNP
beta13,3.765,AgAg,7.991543659029834e-4,NNP
beta13,3.775,BB,0,NNP
beta13,3.775,BAg,0.4763512603097155,NNP
beta13,3.775,AgAg,0.0012607377709766107,NNP
beta13,3.785,BB,0,NNP
beta13,3.785,BAg,0.46524855073497595,NNP
beta13,3.785,AgAg,0.0023846074734620018,NNP
beta13,3.795,BB,0,NNP
beta13,3.795,BAg,0.4397881967396755,NNP
beta13,3.795,AgAg,0.004307742366197333,NNP
beta13,3.805,BB,0,NNP
beta13,3.805,BAg,0.43606298721645476,NNP
beta13,3.805,AgAg,0.005984514735648468,NNP
beta13,3.815,BB,0,NNP
beta13,3.815,BAg,0.4299182408979393,NNP
beta13,3.815,AgAg,0.007357850043132836,NNP
beta13,3.825,BB,0,NNP
beta13,3.825,BAg,0.4293343605400444,NNP
beta13,3.825,AgAg,0.008511088197561687,NNP
beta13,3.835,BB,0,NNP
beta13,3.835,BAg,0.4125862412424551,NNP
beta13,3.835,AgAg,0.010049440957664212,NNP
beta13,3.845,BB,0,NNP
beta13,3.845,BAg,0.39398555675502017,NNP
beta13,3.845,AgAg,0.01583391774705628,NNP
beta13,3.855,BB,0,NNP
beta13,3.855,BAg,0.38201204642932063,NNP
beta13,3.855,AgAg,0.01836026956027559,NNP
beta13,3.865,BB,0,NNP
beta13,3.865,BAg,0.3752242391193499,NNP
beta13,3.865,AgAg,0.0244683534427805,NNP
beta13,3.875,BB,0,NNP
beta13,3.875,BAg,0.3629881147322261,NNP
beta13,3.875,AgAg,0.031026051700887746,NNP
beta13,3.885,BB,0,NNP
beta13,3.885,BAg,0.35858866870522815,NNP
beta13,3.885,AgAg,0.04080552454936604,NNP
beta13,3.895,BB,0,NNP
beta13,3.895,BAg,0.3566996440179212,NNP
beta13,3.895,AgAg,0.05075267463478944,NNP
beta13,3.905,BB,0,NNP
beta13,3.905,BAg,0.3486986337199625,NNP
beta13,3.905,AgAg,0.059204582631076384,NNP
beta13,3.915,BB,0,NNP
beta13,3.915,BAg,0.348158610438724,NNP
beta13,3.915,AgAg,0.0687012317461218,NNP
beta13,3.925,BB,0,NNP
beta13,3.925,BAg,0.3424260149610755,NNP
beta13,3.925,AgAg,0.08166812363741464,NNP
beta13,3.935,BB,0,NNP
beta13,3.935,BAg,0.3403832263062143,NNP
beta13,3.935,AgAg,0.09494820513320643,NNP
beta13,3.945,BB,0,NNP
beta13,3.945,BAg,0.3381169250799599,NNP
beta13,3.945,AgAg,0.1098443272563172,NNP
beta13,3.955,BB,0,NNP
beta13,3.955,BAg,0.3403832263062143,NNP
beta13,3.955,AgAg,0.1280966539026572,NNP
beta13,3.965,BB,0,NNP
beta13,3.965,BAg,0.3403832263062143,NNP
beta13,3.965,AgAg,0.14672101788173003,NNP
beta13,3.975,BB,0,NNP
beta13,3.975,BAg,0.3456112012030577,NNP
beta13,3.975,AgAg,0.1590680692004954,NNP
beta13,3.985,BB,0,NNP
beta13,3.985,BAg,0.3518024465907992,NNP
beta13,3.985,AgAg,0.17686269129390525,NNP
beta13,3.995,BB,0,NNP
beta13,3.995,BAg,0.35783253043179136,NNP
beta13,3.995,AgAg,0.19976188280812934,NNP
beta13,4.005,BB,0,NNP
beta13,4.005,BAg,0.3667968112206481,NNP
beta13,4.005,AgAg,0.2070033672869579,NNP
beta13,4.015,BB,0,NNP
beta13,4.015,BAg,0.3702805426230019,NNP
beta13,4.015,AgAg,0.21647607834306073,NNP
beta13,4.025,BB,0,NNP
beta13,4.025,BAg,0.36822401560677853,NNP
beta13,4.025,AgAg,0.23032635110394348,NNP
beta13,4.035,BB,0,NNP
beta13,4.035,BAg,0.37528077776034063,NNP
beta13,4.035,AgAg,0.24153102505428173,NNP
beta13,4.045,BB,0,NNP
beta13,4.045,BAg,0.37686280291105306,NNP
beta13,4.045,AgAg,0.2425450678289333,NNP
beta13,4.055,BB,1.2766123461773419e-5,NNP
beta13,4.055,BAg,0.39098848038399775,NNP
beta13,4.055,AgAg,0.25806258206542887,NNP
beta13,4.065,BB,1.800038623990221e-5,NNP
beta13,4.065,BAg,0.3922085525526668,NNP
beta13,4.065,AgAg,0.2573835612916267,NNP
beta13,4.075,BB,2.0024098302376422e-05,NNP
beta13,4.075,BAg,0.4069656662497602,NNP
beta13,4.075,AgAg,0.25506666749415513,NNP
beta13,4.085,BB,3.775059869923701e-5,NNP
beta13,4.085,BAg,0.41837273336852465,NNP
beta13,4.085,AgAg,0.25506666749415513,NNP
beta13,4.095,BB,4.904078178461947e-5,NNP
beta13,4.095,BAg,0.4223410062081541,NNP
beta13,4.095,AgAg,0.24383074107797512,NNP
beta13,4.105,BB,6.749764442959104e-5,NNP
beta13,4.105,BAg,0.4418764276667348,NNP
beta13,4.105,AgAg,0.24049614730240237,NNP
beta13,4.115,BB,9.299945959279993e-5,NNP
beta13,4.115,BAg,0.45641742637163,NNP
beta13,4.115,AgAg,0.22997315391019327,NNP
beta13,4.125,BB,1.2854375566753498e-4,NNP
beta13,4.125,BAg,0.4656194864917562,NNP
beta13,4.125,AgAg,0.21832695576158045,NNP
beta13,4.135,BB,2.0466880415293714e-4,NNP
beta13,4.135,BAg,0.4768595796801181,NNP
beta13,4.135,AgAg,0.19819316417696076,NNP
beta13,4.145,BB,3.177532255687894e-4,NNP
beta13,4.145,BAg,0.4870138139223497,NNP
beta13,4.145,AgAg,0.1918808310230151,NNP
beta13,4.155,BB,4.6521032028636533e-4,NNP
beta13,4.155,BAg,0.4988684345824146,NNP
beta13,4.155,AgAg,0.17591747043871367,NNP
beta13,4.165,BB,7.111141596972357e-4,NNP
beta13,4.165,BAg,0.5081080109970298,NNP
beta13,4.165,AgAg,0.1627834554322105,NNP
beta13,4.175,BB,9.205303184628943e-4,NNP
beta13,4.175,BAg,0.5326500083751164,NNP
beta13,4.175,AgAg,0.14769649378364072,NNP
beta13,4.185,BB,0.0013886773036218725,NNP
beta13,4.185,BAg,0.5380581671652106,NNP
beta13,4.185,AgAg,0.13312054319888714,NNP
beta13,4.195,BB,0.0020591802791481034,NNP
beta13,4.195,BAg,0.5500987841021796,NNP
beta13,4.195,AgAg,0.11567933994792141,NNP
beta13,4.205,BB,0.003139903384030009,NNP
beta13,4.205,BAg,0.5497907277685573,NNP
beta13,4.205,AgAg,0.10129544795644337,NNP
beta13,4.215,BB,0.004612191949180422,NNP
beta13,4.215,BAg,0.5635734746059601,NNP
beta13,4.215,AgAg,0.09040407443495098,NNP
beta13,4.225,BB,0.0065371073017174534,NNP
beta13,4.225,BAg,0.5708511073383457,NNP
beta13,4.225,AgAg,0.07915340838062576,NNP
beta13,4.235,BB,0.009376497052410126,NNP
beta13,4.235,BAg,0.5823448318133949,NNP
beta13,4.235,AgAg,0.07111675921238467,NNP
beta13,4.245,BB,0.012824111181097398,NNP
beta13,4.245,BAg,0.5880203602515388,NNP
beta13,4.245,AgAg,0.06234434720469966,NNP
beta13,4.255,BB,0.01708394899320477,NNP
beta13,4.255,BAg,0.5890222038339539,NNP
beta13,4.255,AgAg,0.052519547198316176,NNP
beta13,4.265,BB,0.023026526209079707,NNP
beta13,4.265,BAg,0.6031045526287561,NNP
beta13,4.265,AgAg,0.04327258533696364,NNP
beta13,4.275,BB,0.030342838734250577,NNP
beta13,4.275,BAg,0.6062020247174257,NNP
beta13,4.275,AgAg,0.03778711263566008,NNP
beta13,4.285,BB,0.03978439889026326,NNP
beta13,4.285,BAg,0.6085602672851043,NNP
beta13,4.285,AgAg,0.029571038849696474,NNP
beta13,4.295,BB,0.05067916689769445,NNP
beta13,4.295,BAg,0.616078321341329,NNP
beta13,4.295,AgAg,0.026991491349938068,NNP
beta13,4.305,BB,0.06408291181794894,NNP
beta13,4.305,BAg,0.6176867664177381,NNP
beta13,4.305,AgAg,0.023900821962016504,NNP
beta13,4.315,BB,0.07938719625070975,NNP
beta13,4.315,BAg,0.6372496645990433,NNP
beta13,4.315,AgAg,0.020443878107403862,NNP
beta13,4.325,BB,0.09673174762356862,NNP
beta13,4.325,BAg,0.6432126418287661,NNP
beta13,4.325,AgAg,0.015400483726109594,NNP
beta13,4.335,BB,0.11533833452940297,NNP
beta13,4.335,BAg,0.6509299021247432,NNP
beta13,4.335,AgAg,0.013191311193879658,NNP
beta13,4.345,BB,0.13472557216730677,NNP
beta13,4.345,BAg,0.6509299021247432,NNP
beta13,4.345,AgAg,0.01000389215106511,NNP
beta13,4.355,BB,0.15519951275099889,NNP
beta13,4.355,BAg,0.6556997555100076,NNP
beta13,4.355,AgAg,0.007284151852406793,NNP
beta13,4.365,BB,0.17519351404240105,NNP
beta13,4.365,BAg,0.6549489012217102,NNP
beta13,4.365,AgAg,0.005913033031861556,NNP
beta13,4.375,BB,0.1938889312566619,NNP
beta13,4.375,BAg,0.6525098136814,NNP
beta13,4.375,AgAg,0.005354367498854076,NNP
beta13,4.385,BB,0.20982507032931974,NNP
beta13,4.385,BAg,0.6525098136814,NNP
beta13,4.385,AgAg,0.004947974618564762,NNP
beta13,4.395,BB,0.22452639507862443,NNP
beta13,4.395,BAg,0.6507528886225761,NNP
beta13,4.395,AgAg,0.0035646651198543143,NNP
beta13,4.405,BB,0.23365193661940759,NNP
beta13,4.405,BAg,0.6514419202847433,NNP
beta13,4.405,AgAg,0.0020022634764622384,NNP
beta13,4.415,BB,0.23365193661940759,NNP
beta13,4.415,BAg,0.6515206516633192,NNP
beta13,4.415,AgAg,0.0014165568027973837,NNP
beta13,4.425,BB,0.23365193661940759,NNP
beta13,4.425,BAg,0.651165039463443,NNP
beta13,4.425,AgAg,0.001450912350353884,NNP
beta13,4.435,BB,0.2358276096771294,NNP
beta13,4.435,BAg,0.651165039463443,NNP
beta13,4.435,AgAg,9.719295228080938e-4,NNP
beta13,4.445,BB,0.22780339354297693,NNP
beta13,4.445,BAg,0.6463397042342158,NNP
beta13,4.445,AgAg,9.764733210333083e-4,NNP
beta13,4.455,BB,0.21514706787250287,NNP
beta13,4.455,BAg,0.6383566594857308,NNP
beta13,4.455,AgAg,9.096462398185672e-4,NNP
beta13,4.465,BB,0.1988469953779634,NNP
beta13,4.465,BAg,0.6352301254787951,NNP
beta13,4.465,AgAg,7.724456982864782e-4,NNP
beta13,4.475,BB,0.1813744328052429,NNP
beta13,4.475,BAg,0.6268972809140871,NNP
beta13,4.475,AgAg,3.6682858842585983e-4,NNP
beta13,4.485,BB,0.16139983176105618,NNP
beta13,4.485,BAg,0.6247466989623838,NNP
beta13,4.485,AgAg,2.684165683285295e-4,NNP
beta13,4.495,BB,0.14186685642289387,NNP
beta13,4.495,BAg,0.6223081398205875,NNP
beta13,4.495,AgAg,6.128586386691857e-5,NNP
beta13,4.505,BB,0.12015011317875988,NNP
beta13,4.505,BAg,0.6149829512219479,NNP
beta13,4.505,AgAg,2.183239635042126e-5,NNP
beta13,4.515,BB,0.10116312926870107,NNP
beta13,4.515,BAg,0.6145840103439293,NNP
beta13,4.515,AgAg,2.172157200346481e-5,NNP
beta13,4.525,BB,0.08434658415358594,NNP
beta13,4.525,BAg,0.6020403580216971,NNP
beta13,4.525,AgAg,8.212084109473177e-5,NNP
beta13,4.535,BB,0.06707741225108417,NNP
beta13,4.535,BAg,0.6007124925561859,NNP
beta13,4.535,AgAg,2.6675420312418264e-4,NNP
beta13,4.545,BB,0.05271639066175872,NNP
beta13,4.545,BAg,0.6007124925561859,NNP
beta13,4.545,AgAg,2.484681858763679e-4,NNP
beta13,4.555,BB,0.04069024588436308,NNP
beta13,4.555,BAg,0.5983294152583525,NNP
beta13,4.555,AgAg,1.7066949431293778e-4,NNP
beta13,4.565,BB,0.030916675223063284,NNP
beta13,4.565,BAg,0.5983156768969903,NNP
beta13,4.565,AgAg,3.949779725527989e-4,NNP
beta13,4.575,BB,0.022923438620934874,NNP
beta13,4.575,BAg,0.5990654743882597,NNP
beta13,4.575,AgAg,3.2560193135805927e-4,NNP
beta13,4.585,BB,0.01648779080818417,NNP
beta13,4.585,BAg,0.5983156768969903,NNP
beta13,4.585,AgAg,5.346166497179299e-4,NNP
beta13,4.595,BB,0.011822510653094184,NNP
