w,Int,y1,y2,y3,y4,y5,y6,y7,y8,y9,ytot,y10,name,P,run
278.1934776,0.13815477438154775,5.408517564085175e-4,0.0113899198138992,0.014347311443473114,0.002580196375801964,0.13269258432692585,0.0016592029065920291,1.0416548504165486e-4,0.0021148128511481287,2.1378658413786587e-10,0.16542914565429145,NA,RBM_00, 0.1 GPa,1
279.22819919999995,0.1902769729027697,5.456612784566128e-4,0.01280634912806349,0.01512311505123115,0.002699682296996823,0.12487618624876186,0.0016403133464031334,1.0128273101282731e-4,0.0020834083408340837,2.0983153109831533e-10,0.15987612459876124,NA,RBM_00, 0.1 GPa,1
280.26292079999996,0.17402315574023156,5.505410815054108e-4,0.014505094345050944,0.01596410325964103,0.0028278444282784443,0.11454200214542003,0.0016217197062171971,9.851423498514236e-5,0.002052653210526532,2.0598005005980052e-10,0.15216247652162473,NA,RBM_00, 0.1 GPa,1
281.2976424,0.13526215635262157,5.554854115548542e-4,0.016562930265629303,0.01687635886876359,0.002965344479653445,0.10305578503055786,0.0016034384260343842,9.585753095857531e-5,0.002022580340225803,2.0223378502233785e-10,0.143737798437378,NA,RBM_00, 0.1 GPa,1
282.332364,0.14105643441056437,5.604852266048524e-4,0.01908178489081785,0.017866005778660054,0.0031128071711280718,0.09153545491535454,0.001585498275854983,9.331138593311386e-5,0.0019932267199322673,1.9859520198595202e-10,0.13582810335828105,NA,RBM_00, 0.1 GPa,1
283.3670856,0.10919287819192879,5.655590216555902e-4,0.02222067412220674,0.01894566168945662,0.0032717737527177375,0.08065542170655421,0.001567833495678335,9.086182590861825e-5,0.0019644649396446494,1.9504909395049093e-10,0.12928251729282517,NA,RBM_00, 0.1 GPa,1
284.40180719999995,0.10976618209766181,5.70695699706957e-4,0.026187152961871532,0.020123587701235877,0.003443033344430333,0.07081591720815918,0.0015504810755048106,8.850967288509672e-5,0.0019363525393635253,1.9160080391600804e-10,0.12471589624715897,NA,RBM_00, 0.1 GPa,1
285.43652879999996,0.09994040499940406,5.759059467590594e-4,0.031306856713068563,0.021414374314143742,0.0036282792662827926,0.06212659622126596,0.001533395805333958,8.624588486245886e-5,0.0019088196490881964,1.8824005688240057e-10,0.12258075122580751,NA,RBM_00, 0.1 GPa,1
286.4712504,0.1134677303346773,5.811864748118648e-4,0.038055928880559295,0.022831214628312148,0.003828851378288514,0.054578868845788685,0.0015165900151659002,8.406758484067584e-5,0.001881866268818663,1.8496685284966855e-10,0.12335836323358364,NA,RBM_00, 0.1 GPa,1
287.505972,0.14861760148617603,5.86522898865229e-4,0.04715604437156044,0.024385945443859455,0.004045822390458224,0.04809723438097235,0.001500108915001089,8.19765401197654e-5,0.0018555622685556227,1.8178735681787356e-10,0.1277092092770921,NA,RBM_00, 0.1 GPa,1
288.5406936,0.13487170634871706,5.919468659194686e-4,0.05988327599883276,0.026107131261071313,0.0042824597528245975,0.04252049862520499,0.0014838456448384564,7.995688609956886e-5,0.0018297350282973502,1.7868019678680195e-10,0.13677874636778747,NA,RBM_00, 0.1 GPa,1
289.57541519999995,0.1570126875701269,5.974345379743454e-4,0.07825164708251647,0.028009239280092392,0.004539910155399102,0.03775067917750679,0.001467878294678783,7.801466448014664e-5,0.0018044955180449552,1.7565811375658112e-10,0.15249949652499498,NA,RBM_00, 0.1 GPa,1
